"N";"A";"B"
10;0,000;0,000
20;0,000;0,000
30;0,000;0,000
40;0,000;0,000
50;0,000;0,000
60;0,000;0,000
70;0,000;0,000
80;0,000;0,000
90;0,000;0,000
100;0,000;0,000
200;0,000;0,000
300;0,000;0,000
400;0,001;0,000
500;0,001;0,000
600;0,001;0,000
700;0,002;0,000
800;0,001;0,000
900;0,002;0,000
1000;0,002;0,000
2000;0,008;0,000
3000;0,019;0,001
4000;0,034;0,001
5000;0,054;0,001
6000;0,076;0,001
7000;0,104;0,001
8000;0,137;0,002
9000;0,172;0,002
10000;0,230;0,002
20000;0,841;0,004
30000;1,925;0,007
40000;3,458;0,009
50000;5,361;0,011
60000;7,699;0,014
70000;10,540;0,016
80000;13,750;0,019
90000;17,297;0,023
100000;21,393;0,024
200000;85,376;0,048
300000;191,185;0,078
400000;341,246;0,104
500000;533,033;0,134
600000;776,755;0,162
700000;1053,277;0,193
800000;1356,423;0,213
900000;1725,276;0,250
1000000;2124,178;0,274



